Integer,Entropy,PrimeDivisors,Cluster,ClusterName,UMAP1,UMAP2
3206,13.287712379549442,3,2,Composite Crest,7.358129,-2.1786528
3207,13.287712379549442,2,2,Composite Crest,7.3816414,-2.2083259
3208,13.287712379549442,2,2,Composite Crest,7.403851,-2.2356737
3209,13.287712379549442,1,2,Composite Crest,7.4329715,-2.2670527
3210,13.287712379549442,4,2,Composite Crest,7.483047,-2.3190675
3211,13.287712379549442,2,2,Composite Crest,7.490396,-2.3324244
3212,13.287712379549442,3,2,Composite Crest,7.515816,-2.3541543
3213,13.287712379549442,3,2,Composite Crest,7.539385,-2.3761334
3214,13.287712379549442,2,2,Composite Crest,7.5926523,-2.4246042
3215,13.287712379549442,2,2,Composite Crest,7.61372,-2.442547
3216,13.287712379549442,3,2,Composite Crest,7.6368194,-2.4616039
3217,13.287712379549442,1,2,Composite Crest,7.673957,-2.4893298
3218,13.287712379549442,2,2,Composite Crest,7.69977,-2.5081007
3219,13.287712379549442,3,2,Composite Crest,7.7290993,-2.5276766
3220,13.287712379549442,4,2,Composite Crest,7.7570014,-2.5491452
3221,13.287712379549442,1,2,Composite Crest,7.7883673,-2.568612
3222,13.287712379549442,3,2,Composite Crest,7.814986,-2.5854673
3223,13.287712379549442,2,2,Composite Crest,7.8599396,-2.6049454
3224,13.287712379549442,3,2,Composite Crest,7.8915486,-2.6185613
3225,13.287712379549442,3,2,Composite Crest,7.9159527,-2.6241703
3226,13.287712379549442,2,2,Composite Crest,7.939479,-2.6302474
3227,13.287712379549442,2,2,Composite Crest,7.9867926,-2.6464343
3228,13.287712379549442,3,2,Composite Crest,8.016342,-2.6503222
3229,13.287712379549442,1,2,Composite Crest,8.066733,-2.6692162
3230,13.287712379549442,4,2,Composite Crest,8.076637,-2.6559942
3231,13.287712379549442,2,2,Composite Crest,8.113412,-2.655558
3232,13.287712379549442,2,2,Composite Crest,8.140796,-2.6521971
3233,13.287712379549442,2,2,Composite Crest,8.1728945,-2.6481895
3234,13.287712379549442,4,2,Composite Crest,8.203421,-2.6432548
3235,13.287712379549442,2,2,Composite Crest,8.237669,-2.637815
3236,13.287712379549442,2,2,Composite Crest,8.270318,-2.6292312
3237,13.287712379549442,3,2,Composite Crest,8.302076,-2.6195636
3238,13.287712379549442,2,2,Composite Crest,8.345741,-2.610608
3239,13.287712379549442,2,2,Composite Crest,8.371535,-2.5975957
3240,13.287712379549442,3,2,Composite Crest,8.401096,-2.5884347
3241,13.287712379549442,2,2,Composite Crest,8.436972,-2.573872
3242,13.287712379549442,2,2,Composite Crest,8.465176,-2.5636854
3243,13.287712379549442,3,2,Composite Crest,8.4980135,-2.5529306
3244,13.287712379549442,2,2,Composite Crest,8.553296,-2.5251453
3245,13.287712379549442,3,2,Composite Crest,8.581435,-2.5103493
3246,13.287712379549442,3,2,Composite Crest,8.632213,-2.483069
3247,13.287712379549442,2,2,Composite Crest,8.661302,-2.4660647
3248,13.287712379549442,3,2,Composite Crest,8.692125,-2.4491751
3249,13.287712379549442,2,2,Composite Crest,8.722195,-2.4319074
3250,13.287712379549442,3,2,Composite Crest,8.751866,-2.4150057
3251,13.287712379549442,1,2,Composite Crest,8.774752,-2.4056444
3252,13.287712379549442,3,2,Composite Crest,8.812685,-2.3791108
3253,13.287712379549442,1,2,Composite Crest,8.831516,-2.3668232
3254,13.287712379549442,2,2,Composite Crest,8.885229,-2.3328454
3255,13.287712379549442,4,2,Composite Crest,8.90449,-2.324507
3256,13.287712379549442,3,2,Composite Crest,8.9317875,-2.308757
3257,13.287712379549442,1,2,Composite Crest,8.966672,-2.2901623
3258,13.287712379549442,3,2,Composite Crest,8.9885845,-2.2764392
3259,13.287712379549442,1,2,Composite Crest,9.035545,-2.2524698
3260,13.287712379549442,3,2,Composite Crest,9.059897,-2.239402
3261,13.287712379549442,2,2,Composite Crest,9.085698,-2.2273438
3262,13.287712379549442,3,2,Composite Crest,9.11028,-2.21446
3263,13.287712379549442,2,2,Composite Crest,9.135905,-2.2015345
3264,13.287712379549442,3,2,Composite Crest,9.176698,-2.1804786
3265,13.287712379549442,2,2,Composite Crest,9.189947,-2.1767943
3266,13.287712379549442,3,2,Composite Crest,9.208721,-2.1690733
3267,13.287712379549442,2,2,Composite Crest,9.237645,-2.157494
3268,13.287712379549442,3,2,Composite Crest,9.289192,-2.134311
3269,13.287712379549442,2,2,Composite Crest,9.315931,-2.12507
3270,13.287712379549442,4,2,Composite Crest,9.33464,-2.118482
3271,13.287712379549442,1,2,Composite Crest,9.361795,-2.1081707
3272,13.287712379549442,2,2,Composite Crest,9.389459,-2.0975368
3273,13.287712379549442,2,2,Composite Crest,9.412397,-2.0892022
3274,13.287712379549442,2,2,Composite Crest,9.435591,-2.081258
3275,13.287712379549442,2,2,Composite Crest,9.461114,-2.0706415
3276,13.287712379549442,4,2,Composite Crest,9.475318,-2.0730474
3277,13.287712379549442,2,2,Composite Crest,9.53502,-2.0379162
3278,13.287712379549442,3,2,Composite Crest,9.561753,-2.0253115
3279,13.287712379549442,2,2,Composite Crest,9.616687,-2.0000703
3280,13.287712379549442,3,2,Composite Crest,9.6638565,-1.9792467
3281,13.287712379549442,2,2,Composite Crest,9.705696,-1.9591697
3282,13.287712379549442,3,2,Composite Crest,9.749833,-1.9420433
3283,13.287712379549442,2,2,Composite Crest,9.795022,-1.9233856
3284,13.287712379549442,2,2,Composite Crest,9.8255205,-1.9137982
3285,13.287712379549442,3,2,Composite Crest,9.872901,-1.8955365
3286,13.287712379549442,3,2,Composite Crest,9.876873,-1.8989693
3287,13.287712379549442,2,2,Composite Crest,9.9523945,-1.8676304
3288,13.287712379549442,3,2,Composite Crest,9.987938,-1.8559798
3289,13.287712379549442,3,2,Composite Crest,10.022714,-1.8439523
3290,13.287712379549442,4,2,Composite Crest,10.065009,-1.8294975
3291,13.287712379549442,2,2,Composite Crest,10.107311,-1.8154588
3292,13.287712379549442,2,2,Composite Crest,10.159357,-1.7974962
3293,13.287712379549442,2,2,Composite Crest,10.194292,-1.7854171
3294,13.287712379549442,3,2,Composite Crest,10.238521,-1.7713498
3295,13.287712379549442,2,2,Composite Crest,10.28241,-1.7565298
3296,13.287712379549442,2,2,Composite Crest,10.338325,-1.7372352
